Tp,Hs,Uw,Op,D
2,0.008769523,24,1,6.48E-05
2,0.008769523,24,2,2.56E-08
2,0.008769523,25,1,7.02E-05
2,0.008769523,25,2,3.64E-08
2.5,0.042302178,1,1,1.75E-09
2.5,0.042302178,1,2,NaN
2.5,0.042302178,2,1,1.4E-06
2.5,0.042302178,2,2,5.17E-10
2.5,0.042302178,3,1,1.88E-07
2.5,0.042302178,3,2,4.55E-10
2.5,0.042302178,4,1,1.82E-06
2.5,0.042302178,4,2,4.14E-10
2.5,0.042302178,5,1,2.65E-06
2.5,0.042302178,5,2,4.43E-10
2.5,0.042302178,6,1,1.98E-05
2.5,0.042302178,6,2,4.07E-10
2.5,0.042302178,7,1,2.24E-05
2.5,0.042302178,7,2,3.01E-10
2.5,0.042302178,8,1,3.7E-05
2.5,0.042302178,8,2,3.71E-10
2.5,0.042302178,9,1,5.71E-05
2.5,0.042302178,9,2,2.66E-10
2.5,0.042302178,10,1,1.08E-04
2.5,0.042302178,10,2,2.12E-10
2.5,0.042302178,11,1,0.001408206
2.5,0.042302178,11,2,2.86E-10
2.5,0.042302178,12,1,0.001287144
2.5,0.042302178,12,2,3.06E-10
2.5,0.042302178,13,1,3.73E-05
2.5,0.042302178,13,2,3.01E-10
2.5,0.042302178,14,1,2.21E-05
2.5,0.042302178,14,2,2.56E-10
2.5,0.042302178,15,1,2.12E-05
2.5,0.042302178,15,2,2.75E-10
2.5,0.042302178,16,1,2.23E-05
2.5,0.042302178,16,2,4.97E-10
2.5,0.042302178,17,1,3.51E-05
2.5,0.042302178,17,2,6.66E-10
2.5,0.042302178,18,1,3.52E-05
2.5,0.042302178,18,2,1.22E-09
2.5,0.042302178,19,1,3.77E-05
2.5,0.042302178,19,2,2.29E-09
2.5,0.042302178,20,1,4.06E-05
2.5,0.042302178,20,2,3.86E-09
2.5,0.042302178,21,1,4.33E-05
2.5,0.042302178,21,2,5.74E-09
2.5,0.042302178,22,1,4.6E-05
2.5,0.042302178,22,2,8.28E-09
2.5,0.042302178,23,1,5.53E-05
2.5,0.042302178,23,2,1.32E-08
2.5,0.042302178,24,1,6.48E-05
2.5,0.042302178,24,2,2.54E-08
2.5,0.042302178,25,1,7.02E-05
2.5,0.042302178,25,2,3.64E-08
2.5,0.084589818,1,1,1.77E-09
2.5,0.084589818,1,2,NaN
2.5,0.084589818,2,1,1.49E-06
2.5,0.084589818,2,2,6.9E-07
2.5,0.084589818,3,1,1.88E-07
2.5,0.084589818,3,2,4.78E-10
2.5,0.084589818,4,1,1.82E-06
2.5,0.084589818,4,2,4.37E-10
2.5,0.084589818,5,1,2.66E-06
2.5,0.084589818,5,2,4.71E-10
2.5,0.084589818,6,1,1.99E-05
2.5,0.084589818,6,2,4.24E-10
2.5,0.084589818,7,1,2.24E-05
2.5,0.084589818,7,2,3.19E-10
2.5,0.084589818,8,1,3.7E-05
2.5,0.084589818,8,2,3.94E-10
2.5,0.084589818,9,1,5.71E-05
2.5,0.084589818,9,2,2.92E-10
2.5,0.084589818,10,1,1.08E-04
2.5,0.084589818,10,2,2.2E-10
2.5,0.084589818,11,1,0.001408836
2.5,0.084589818,11,2,2.87E-10
2.5,0.084589818,12,1,0.00128685
2.5,0.084589818,12,2,3.16E-10
2.5,0.084589818,13,1,3.72E-05
2.5,0.084589818,13,2,3.11E-10
2.5,0.084589818,14,1,2.21E-05
2.5,0.084589818,14,2,2.57E-10
2.5,0.084589818,15,1,2.12E-05
2.5,0.084589818,15,2,2.74E-10
2.5,0.084589818,16,1,2.23E-05
2.5,0.084589818,16,2,4.88E-10
2.5,0.084589818,17,1,3.5E-05
2.5,0.084589818,17,2,6.42E-10
2.5,0.084589818,18,1,3.52E-05
2.5,0.084589818,18,2,1.22E-09
2.5,0.084589818,19,1,3.76E-05
2.5,0.084589818,19,2,2.35E-09
2.5,0.084589818,20,1,4.06E-05
2.5,0.084589818,20,2,3.77E-09
2.5,0.084589818,21,1,4.33E-05
2.5,0.084589818,21,2,5.61E-09
2.5,0.084589818,22,1,4.6E-05
2.5,0.084589818,22,2,8.1E-09
2.5,0.084589818,23,1,5.53E-05
2.5,0.084589818,23,2,1.28E-08
2.5,0.084589818,24,1,6.48E-05
2.5,0.084589818,24,2,2.56E-08
2.5,0.084589818,25,1,7.02E-05
2.5,0.084589818,25,2,3.66E-08
2.5,0.16906205,1,1,1.84E-09
2.5,0.16906205,1,2,NaN
2.5,0.16906205,2,1,1.53E-06
2.5,0.16906205,2,2,6.66E-10
2.5,0.16906205,3,1,1.87E-07
2.5,0.16906205,3,2,6.06E-10
2.5,0.16906205,4,1,1.84E-06
2.5,0.16906205,4,2,5.57E-10
2.5,0.16906205,5,1,2.69E-06
2.5,0.16906205,5,2,6.06E-10
2.5,0.16906205,6,1,1.99E-05
2.5,0.16906205,6,2,5.2E-10
2.5,0.16906205,7,1,2.24E-05
2.5,0.16906205,7,2,4.14E-10
2.5,0.16906205,8,1,3.71E-05
2.5,0.16906205,8,2,5.02E-10
2.5,0.16906205,9,1,5.72E-05
2.5,0.16906205,9,2,4.01E-10
2.5,0.16906205,10,1,1.08E-04
2.5,0.16906205,10,2,2.83E-10
2.5,0.16906205,11,1,0.001408062
2.5,0.16906205,11,2,3.31E-10
2.5,0.16906205,12,1,0.001287258
2.5,0.16906205,12,2,3.8E-10
2.5,0.16906205,13,1,3.71E-05
2.5,0.16906205,13,2,3.69E-10
2.5,0.16906205,14,1,2.22E-05
2.5,0.16906205,14,2,2.94E-10
2.5,0.16906205,15,1,2.12E-05
2.5,0.16906205,15,2,3.1E-10
2.5,0.16906205,16,1,2.23E-05
2.5,0.16906205,16,2,5.14E-10
2.5,0.16906205,17,1,3.5E-05
2.5,0.16906205,17,2,6.48E-10
2.5,0.16906205,18,1,3.52E-05
2.5,0.16906205,18,2,1.28E-09
2.5,0.16906205,19,1,3.76E-05
2.5,0.16906205,19,2,2.6E-09
2.5,0.16906205,20,1,4.05E-05
2.5,0.16906205,20,2,3.79E-09
2.5,0.16906205,21,1,4.34E-05
2.5,0.16906205,21,2,5.56E-09
2.5,0.16906205,22,1,4.6E-05
2.5,0.16906205,22,2,7.98E-09
2.5,0.16906205,23,1,5.53E-05
2.5,0.16906205,23,2,1.34E-08
2.5,0.16906205,24,1,6.48E-05
2.5,0.16906205,24,2,2.6E-08
2.5,0.16906205,25,1,7.02E-05
2.5,0.16906205,25,2,3.79E-08
3,0.113943525,1,1,2.08E-09
3,0.113943525,1,2,NaN
3,0.113943525,2,1,1.64E-06
3,0.113943525,2,2,1.03E-09
3,0.113943525,3,1,1.85E-07
3,0.113943525,3,2,9.42E-10
3,0.113943525,4,1,1.84E-06
3,0.113943525,4,2,8.82E-10
3,0.113943525,5,1,2.69E-06
3,0.113943525,5,2,9.54E-10
3,0.113943525,6,1,2E-05
3,0.113943525,6,2,7.74E-10
3,0.113943525,7,1,2.24E-05
3,0.113943525,7,2,6.48E-10
3,0.113943525,8,1,3.71E-05
3,0.113943525,8,2,7.5E-10
3,0.113943525,9,1,5.73E-05
3,0.113943525,9,2,6.42E-10
3,0.113943525,10,1,1.08E-04
3,0.113943525,10,2,4.45E-10
3,0.113943525,11,1,0.00140853
3,0.113943525,11,2,4.48E-10
3,0.113943525,12,1,0.001286958
3,0.113943525,12,2,5.23E-10
3,0.113943525,13,1,3.72E-05
3,0.113943525,13,2,5.02E-10
3,0.113943525,14,1,2.21E-05
3,0.113943525,14,2,4.03E-10
3,0.113943525,15,1,2.11E-05
3,0.113943525,15,2,3.6E-10
3,0.113943525,16,1,2.22E-05
3,0.113943525,16,2,6.3E-10
3,0.113943525,17,1,3.51E-05
3,0.113943525,17,2,7.14E-10
3,0.113943525,18,1,3.52E-05
3,0.113943525,18,2,1.49E-09
3,0.113943525,19,1,3.76E-05
3,0.113943525,19,2,3.05E-09
3,0.113943525,20,1,4.05E-05
3,0.113943525,20,2,3.89E-09
3,0.113943525,21,1,4.33E-05
3,0.113943525,21,2,5.62E-09
3,0.113943525,22,1,4.6E-05
3,0.113943525,22,2,8.16E-09
3,0.113943525,23,1,5.53E-05
3,0.113943525,23,2,1.4E-08
3,0.113943525,24,1,6.48E-05
3,0.113943525,24,2,2.69E-08
3,0.113943525,25,1,7.02E-05
3,0.113943525,25,2,4E-08
3,0.227635347,1,1,4.3E-09
3,0.227635347,1,2,NaN
3,0.227635347,2,1,1.74E-06
3,0.227635347,2,2,4.34E-09
3,0.227635347,3,1,1.91E-07
3,0.227635347,3,2,4.05E-09
3,0.227635347,4,1,1.87E-06
3,0.227635347,4,2,3.81E-09
3,0.227635347,5,1,2.79E-06
3,0.227635347,5,2,3.89E-09
3,0.227635347,6,1,2.02E-05
3,0.227635347,6,2,3.17E-09
3,0.227635347,7,1,2.26E-05
3,0.227635347,7,2,2.75E-09
3,0.227635347,8,1,3.73E-05
3,0.227635347,8,2,2.98E-09
3,0.227635347,9,1,5.76E-05
3,0.227635347,9,2,2.69E-09
3,0.227635347,10,1,1.09E-04
3,0.227635347,10,2,2E-09
3,0.227635347,11,1,0.001408626
3,0.227635347,11,2,1.87E-09
3,0.227635347,12,1,0.00128751
3,0.227635347,12,2,2.04E-09
3,0.227635347,13,1,3.71E-05
3,0.227635347,13,2,1.79E-09
3,0.227635347,14,1,2.22E-05
3,0.227635347,14,2,1.47E-09
3,0.227635347,15,1,2.12E-05
3,0.227635347,15,2,1.37E-09
3,0.227635347,16,1,2.22E-05
3,0.227635347,16,2,1.69E-09
3,0.227635347,17,1,3.52E-05
3,0.227635347,17,2,1.82E-09
3,0.227635347,18,1,3.52E-05
3,0.227635347,18,2,3.17E-09
3,0.227635347,19,1,3.76E-05
3,0.227635347,19,2,6.12E-09
3,0.227635347,20,1,4.04E-05
3,0.227635347,20,2,6.36E-09
3,0.227635347,21,1,4.34E-05
3,0.227635347,21,2,8.76E-09
3,0.227635347,22,1,4.59E-05
3,0.227635347,22,2,1.17E-08
3,0.227635347,23,1,5.52E-05
3,0.227635347,23,2,1.95E-08
3,0.227635347,24,1,6.48E-05
3,0.227635347,24,2,3.5E-08
3,0.227635347,25,1,7.02E-05
3,0.227635347,25,2,5.26E-08
3,0.453088137,1,1,5.53E-08
3,0.453088137,1,2,NaN
3,0.453088137,2,1,1.98E-06
3,0.453088137,2,2,2.22E-07
3,0.453088137,3,1,3.59E-07
3,0.453088137,3,2,2.11E-07
3,0.453088137,4,1,2.27E-06
3,0.453088137,4,2,1.96E-07
3,0.453088137,5,1,3.55E-06
3,0.453088137,5,2,1.9E-07
3,0.453088137,6,1,2.21E-05
3,0.453088137,6,2,1.66E-07
3,0.453088137,7,1,2.44E-05
3,0.453088137,7,2,1.52E-07
3,0.453088137,8,1,3.93E-05
3,0.453088137,8,2,1.51E-07
3,0.453088137,9,1,6.06E-05
3,0.453088137,9,2,1.45E-07
3,0.453088137,10,1,1.12E-04
3,0.453088137,10,2,1.23E-07
3,0.453088137,11,1,0.001414212
3,0.453088137,11,2,1.16E-07
3,0.453088137,12,1,0.001291974
3,0.453088137,12,2,1.17E-07
3,0.453088137,13,1,3.82E-05
3,0.453088137,13,2,1.01E-07
3,0.453088137,14,1,2.3E-05
3,0.453088137,14,2,8.94E-08
3,0.453088137,15,1,2.17E-05
3,0.453088137,15,2,8.34E-08
3,0.453088137,16,1,2.27E-05
3,0.453088137,16,2,8.46E-08
3,0.453088137,17,1,3.6E-05
3,0.453088137,17,2,8.16E-08
3,0.453088137,18,1,3.61E-05
3,0.453088137,18,2,9.48E-08
3,0.453088137,19,1,3.82E-05
3,0.453088137,19,2,9.12E-08
3,0.453088137,20,1,4.09E-05
3,0.453088137,20,2,1.14E-07
3,0.453088137,21,1,4.4E-05
3,0.453088137,21,2,1.22E-07
3,0.453088137,22,1,4.66E-05
3,0.453088137,22,2,1.42E-07
3,0.453088137,23,1,5.54E-05
3,0.453088137,23,2,1.72E-07
3,0.453088137,24,1,6.54E-05
3,0.453088137,24,2,2.15E-07
3,0.453088137,25,1,7.14E-05
3,0.453088137,25,2,2.69E-07
3,0.673800838,1,1,1.54E-08
3,0.673800838,1,2,NaN
3,0.673800838,2,1,1.74E-06
3,0.673800838,2,2,4.29E-08
3,0.673800838,3,1,2.44E-07
3,0.673800838,3,2,4.05E-08
3,0.673800838,4,1,2.01E-06
3,0.673800838,4,2,3.79E-08
3,0.673800838,5,1,3.1E-06
3,0.673800838,5,2,3.73E-08
3,0.673800838,6,1,2.1E-05
3,0.673800838,6,2,3.17E-08
3,0.673800838,7,1,2.32E-05
3,0.673800838,7,2,2.85E-08
3,0.673800838,8,1,3.8E-05
3,0.673800838,8,2,2.92E-08
3,0.673800838,9,1,5.88E-05
3,0.673800838,9,2,2.75E-08
3,0.673800838,10,1,1.1E-04
3,0.673800838,10,2,2.24E-08
3,0.673800838,11,1,0.00141084
3,0.673800838,11,2,2.12E-08
3,0.673800838,12,1,0.001288974
3,0.673800838,12,2,2.16E-08
3,0.673800838,13,1,3.74E-05
3,0.673800838,13,2,1.84E-08
3,0.673800838,14,1,2.25E-05
3,0.673800838,14,2,1.59E-08
3,0.673800838,15,1,2.14E-05
3,0.673800838,15,2,1.46E-08
3,0.673800838,16,1,2.24E-05
3,0.673800838,16,2,1.55E-08
3,0.673800838,17,1,3.55E-05
3,0.673800838,17,2,1.56E-08
3,0.673800838,18,1,3.56E-05
3,0.673800838,18,2,2.02E-08
3,0.673800838,19,1,3.78E-05
3,0.673800838,19,2,3.02E-08
3,0.673800838,20,1,4.06E-05
3,0.673800838,20,2,2.92E-08
3,0.673800838,21,1,4.36E-05
3,0.673800838,21,2,3.32E-08
3,0.673800838,22,1,4.61E-05
3,0.673800838,22,2,3.44E-08
3,0.673800838,23,1,5.51E-05
3,0.673800838,23,2,5.65E-08
3,0.673800838,24,1,6.48E-05
3,0.673800838,24,2,8.28E-08
3,0.673800838,25,1,7.08E-05
3,0.673800838,25,2,1.15E-07
3.5,0.194847467,1,1,4.68E-09
3.5,0.194847467,1,2,NaN
3.5,0.194847467,2,1,1.75E-06
3.5,0.194847467,2,2,5.15E-09
3.5,0.194847467,3,1,1.96E-07
3.5,0.194847467,3,2,4.84E-09
3.5,0.194847467,4,1,1.9E-06
3.5,0.194847467,4,2,4.54E-09
3.5,0.194847467,5,1,2.81E-06
3.5,0.194847467,5,2,4.61E-09
3.5,0.194847467,6,1,2.03E-05
3.5,0.194847467,6,2,3.77E-09
3.5,0.194847467,7,1,2.26E-05
3.5,0.194847467,7,2,3.3E-09
3.5,0.194847467,8,1,3.74E-05
3.5,0.194847467,8,2,3.54E-09
3.5,0.194847467,9,1,5.77E-05
3.5,0.194847467,9,2,3.24E-09
3.5,0.194847467,10,1,1.09E-04
3.5,0.194847467,10,2,2.41E-09
3.5,0.194847467,11,1,0.001408788
3.5,0.194847467,11,2,2.26E-09
3.5,0.194847467,12,1,0.00128751
3.5,0.194847467,12,2,2.47E-09
3.5,0.194847467,13,1,3.72E-05
3.5,0.194847467,13,2,2.18E-09
3.5,0.194847467,14,1,2.21E-05
3.5,0.194847467,14,2,1.78E-09
3.5,0.194847467,15,1,2.11E-05
3.5,0.194847467,15,2,1.67E-09
3.5,0.194847467,16,1,2.22E-05
3.5,0.194847467,16,2,2.03E-09
3.5,0.194847467,17,1,3.52E-05
3.5,0.194847467,17,2,2.11E-09
3.5,0.194847467,18,1,3.53E-05
3.5,0.194847467,18,2,3.61E-09
3.5,0.194847467,19,1,3.76E-05
3.5,0.194847467,19,2,6.84E-09
3.5,0.194847467,20,1,4.04E-05
3.5,0.194847467,20,2,6.48E-09
3.5,0.194847467,21,1,4.33E-05
3.5,0.194847467,21,2,9.36E-09
3.5,0.194847467,22,1,4.6E-05
3.5,0.194847467,22,2,1.27E-08
3.5,0.194847467,23,1,5.52E-05
3.5,0.194847467,23,2,2.08E-08
3.5,0.194847467,24,1,6.48E-05
3.5,0.194847467,24,2,3.7E-08
3.5,0.194847467,25,1,7.02E-05
3.5,0.194847467,25,2,5.5E-08
3.5,0.388571056,1,1,1.78E-08
3.5,0.388571056,1,2,NaN
3.5,0.388571056,2,1,1.98E-06
3.5,0.388571056,2,2,5.52E-08
3.5,0.388571056,3,1,2.6E-07
3.5,0.388571056,3,2,5.23E-08
3.5,0.388571056,4,1,2.07E-06
3.5,0.388571056,4,2,4.88E-08
3.5,0.388571056,5,1,3.19E-06
3.5,0.388571056,5,2,4.81E-08
3.5,0.388571056,6,1,2.12E-05
3.5,0.388571056,6,2,4.1E-08
3.5,0.388571056,7,1,2.34E-05
3.5,0.388571056,7,2,3.73E-08
3.5,0.388571056,8,1,3.83E-05
3.5,0.388571056,8,2,3.78E-08
3.5,0.388571056,9,1,5.89E-05
3.5,0.388571056,9,2,3.6E-08
3.5,0.388571056,10,1,1.1E-04
3.5,0.388571056,10,2,2.95E-08
3.5,0.388571056,11,1,0.001411248
3.5,0.388571056,11,2,2.78E-08
3.5,0.388571056,12,1,0.00128898
3.5,0.388571056,12,2,2.87E-08
3.5,0.388571056,13,1,3.75E-05
3.5,0.388571056,13,2,2.47E-08
3.5,0.388571056,14,1,2.24E-05
3.5,0.388571056,14,2,2.12E-08
3.5,0.388571056,15,1,2.12E-05
3.5,0.388571056,15,2,1.96E-08
3.5,0.388571056,16,1,2.23E-05
3.5,0.388571056,16,2,2.08E-08
3.5,0.388571056,17,1,3.55E-05
3.5,0.388571056,17,2,2.02E-08
3.5,0.388571056,18,1,3.56E-05
3.5,0.388571056,18,2,2.57E-08
3.5,0.388571056,19,1,3.79E-05
3.5,0.388571056,19,2,3.76E-08
3.5,0.388571056,20,1,4.06E-05
3.5,0.388571056,20,2,3.59E-08
3.5,0.388571056,21,1,4.36E-05
3.5,0.388571056,21,2,4.04E-08
3.5,0.388571056,22,1,4.61E-05
3.5,0.388571056,22,2,4.9E-08
3.5,0.388571056,23,1,5.53E-05
3.5,0.388571056,23,2,6.66E-08
3.5,0.388571056,24,1,6.48E-05
3.5,0.388571056,24,2,9.48E-08
3.5,0.388571056,25,1,7.08E-05
3.5,0.388571056,25,2,1.31E-07
3.5,0.767338316,1,1,NaN
3.5,0.767338316,1,2,NaN
3.5,0.767338316,2,1,NaN
3.5,0.767338316,2,2,NaN
3.5,0.767338316,3,1,NaN
3.5,0.767338316,3,2,NaN
3.5,0.767338316,4,1,NaN
3.5,0.767338316,4,2,NaN
3.5,0.767338316,5,1,NaN
3.5,0.767338316,5,2,NaN
3.5,0.767338316,6,1,NaN
3.5,0.767338316,6,2,NaN
3.5,0.767338316,7,1,NaN
3.5,0.767338316,7,2,NaN
3.5,0.767338316,8,1,NaN
3.5,0.767338316,8,2,NaN
3.5,0.767338316,9,1,NaN
3.5,0.767338316,9,2,NaN
3.5,0.767338316,10,1,NaN
3.5,0.767338316,10,2,NaN
3.5,0.767338316,11,1,NaN
3.5,0.767338316,11,2,NaN
3.5,0.767338316,12,1,NaN
3.5,0.767338316,12,2,NaN
3.5,0.767338316,13,1,NaN
3.5,0.767338316,13,2,NaN
3.5,0.767338316,14,1,NaN
3.5,0.767338316,14,2,NaN
3.5,0.767338316,15,1,NaN
3.5,0.767338316,15,2,NaN
3.5,0.767338316,16,1,NaN
3.5,0.767338316,16,2,NaN
3.5,0.767338316,17,1,NaN
3.5,0.767338316,17,2,NaN
3.5,0.767338316,18,1,NaN
3.5,0.767338316,18,2,NaN
3.5,0.767338316,19,1,NaN
3.5,0.767338316,19,2,NaN
3.5,0.767338316,20,1,NaN
3.5,0.767338316,20,2,NaN
3.5,0.767338316,21,1,NaN
3.5,0.767338316,21,2,NaN
3.5,0.767338316,22,1,NaN
3.5,0.767338316,22,2,NaN
3.5,0.767338316,23,1,NaN
3.5,0.767338316,23,2,NaN
3.5,0.767338316,24,1,NaN
3.5,0.767338316,24,2,NaN
3.5,0.767338316,25,1,NaN
3.5,0.767338316,25,2,NaN
3.5,NaN,1,1,2.26E-07
3.5,NaN,1,2,NaN
3.5,NaN,2,1,2.36E-06
3.5,NaN,2,2,1.04E-06
3.5,NaN,3,1,6.48E-07
3.5,NaN,3,2,9.9E-07
3.5,NaN,4,1,2.89E-06
3.5,NaN,4,2,9.18E-07
3.5,NaN,5,1,4.51E-06
3.5,NaN,5,2,8.82E-07
3.5,NaN,6,1,2.42E-05
3.5,NaN,6,2,7.86E-07
3.5,NaN,7,1,2.65E-05
3.5,NaN,7,2,7.26E-07
3.5,NaN,8,1,4.15E-05
3.5,NaN,8,2,7.08E-07
3.5,NaN,9,1,6.3E-05
3.5,NaN,9,2,6.9E-07
3.5,NaN,10,1,1.15E-04
3.5,NaN,10,2,6E-07
3.5,NaN,11,1,0.001419462
3.5,NaN,11,2,5.67E-07
3.5,NaN,12,1,0.001296744
3.5,NaN,12,2,5.69E-07
3.5,NaN,13,1,3.94E-05
3.5,NaN,13,2,5.04E-07
3.5,NaN,14,1,2.36E-05
3.5,NaN,14,2,NaN
3.5,NaN,15,1,2.2E-05
3.5,NaN,15,2,4.27E-07
3.5,NaN,16,1,2.3E-05
3.5,NaN,16,2,4.22E-07
3.5,NaN,17,1,3.7E-05
3.5,NaN,17,2,3.96E-07
3.5,NaN,18,1,3.7E-05
3.5,NaN,18,2,4.3E-07
3.5,NaN,19,1,3.9E-05
3.5,NaN,19,2,5.08E-07
3.5,NaN,20,1,4.16E-05
3.5,NaN,20,2,4.59E-07
3.5,NaN,21,1,4.48E-05
3.5,NaN,21,2,4.75E-07
3.5,NaN,22,1,4.73E-05
3.5,NaN,22,2,5.34E-07
3.5,NaN,23,1,5.6E-05
3.5,NaN,23,2,5.87E-07
3.5,NaN,24,1,6.6E-05
3.5,NaN,24,2,6.66E-07
3.5,NaN,25,1,7.2E-05
3.5,NaN,25,2,7.62E-07
4,0.216490772,1,1,2.14E-08
4,0.216490772,1,2,NaN
4,0.216490772,2,1,1.87E-06
4,0.216490772,2,2,5.65E-08
4,0.216490772,3,1,2.5E-07
4,0.216490772,3,2,5.34E-08
4,0.216490772,4,1,2.04E-06
4,0.216490772,4,2,4.99E-08
4,0.216490772,5,1,3.11E-06
4,0.216490772,5,2,4.89E-08
4,0.216490772,6,1,2.09E-05
4,0.216490772,6,2,4.17E-08
4,0.216490772,7,1,2.32E-05
4,0.216490772,7,2,3.78E-08
4,0.216490772,8,1,3.8E-05
4,0.216490772,8,2,3.83E-08
4,0.216490772,9,1,5.85E-05
4,0.216490772,9,2,3.44E-08
4,0.216490772,10,1,1.09E-04
4,0.216490772,10,2,3.01E-08
4,0.216490772,11,1,0.001411194
4,0.216490772,11,2,2.81E-08
4,0.216490772,12,1,0.001288278
4,0.216490772,12,2,2.9E-08
4,0.216490772,13,1,3.73E-05
4,0.216490772,13,2,2.48E-08
4,0.216490772,14,1,2.22E-05
4,0.216490772,14,2,2.14E-08
4,0.216490772,15,1,2.11E-05
4,0.216490772,15,2,1.94E-08
4,0.216490772,16,1,2.21E-05
4,0.216490772,16,2,2.11E-08
4,0.216490772,17,1,3.54E-05
4,0.216490772,17,2,2.04E-08
4,0.216490772,18,1,3.55E-05
4,0.216490772,18,2,2.59E-08
4,0.216490772,19,1,3.77E-05
4,0.216490772,19,2,3.79E-08
4,0.216490772,20,1,4.06E-05
4,0.216490772,20,2,3.56E-08
4,0.216490772,21,1,4.34E-05
4,0.216490772,21,2,4.02E-08
4,0.216490772,22,1,4.59E-05
4,0.216490772,22,2,4.91E-08
4,0.216490772,23,1,5.51E-05
4,0.216490772,23,2,6.6E-08
4,0.216490772,24,1,6.48E-05
4,0.216490772,24,2,8.46E-08
4,0.216490772,25,1,7.02E-05
4,0.216490772,25,2,1.31E-07
4,0.431860429,1,1,2.39E-07
4,0.431860429,1,2,NaN
4,0.431860429,2,1,2.35E-06
4,0.431860429,2,2,1.13E-06
4,0.431860429,3,1,5.96E-07
4,0.431860429,3,2,1.06E-06
4,0.431860429,4,1,2.73E-06
4,0.431860429,4,2,9.9E-07
4,0.431860429,5,1,4.29E-06
4,0.431860429,5,2,9.48E-07
4,0.431860429,6,1,2.33E-05
4,0.431860429,6,2,8.46E-07
4,0.431860429,7,1,2.57E-05
4,0.431860429,7,2,7.86E-07
4,0.431860429,8,1,4.06E-05
